card_1,card_2,card_3,card_4,card_5,hand,bid,hand_type,best_card,hand2,rank
-1,2,14,5,7,J2A57,841,1,A,A2A57,1
-1,5,4,14,13,J54AK,140,1,A,A54AK,2
-1,5,12,7,3,J5Q73,838,1,Q,Q5Q73,3
-1,6,9,2,14,J692A,687,1,A,A692A,4
-1,7,9,6,12,J796Q,289,1,Q,Q796Q,5
-1,9,3,12,8,J93Q8,994,1,Q,Q93Q8,6
-1,9,10,8,2,J9T82,66,1,T,T9T82,7
-1,10,3,4,9,JT349,154,1,T,TT349,8
-1,10,4,6,5,JT465,301,1,T,TT465,9
-1,12,4,8,5,JQ485,35,1,Q,QQ485,10
-1,12,10,7,14,JQT7A,443,1,A,AQT7A,11
-1,13,6,4,12,JK64Q,755,1,K,KK64Q,12
-1,14,13,6,7,JAK67,432,1,A,AAK67,13
2,3,-1,10,14,23JTA,500,1,A,23ATA,14
2,4,14,9,10,24A9T,919,1,A,24A9T,15
2,6,3,7,10,2637T,643,1,T,2637T,16
2,6,4,10,13,264TK,935,1,K,264TK,17
2,7,-1,8,4,27J84,121,1,8,27884,18
2,8,4,6,14,2846A,208,1,A,2846A,19
2,8,7,9,4,28794,795,1,9,28794,20
2,8,13,4,-1,28K4J,368,1,K,28K4K,21
2,9,7,10,-1,297TJ,299,1,T,297TT,22
2,10,6,3,13,2T63K,48,1,K,2T63K,23
2,10,12,3,8,2TQ38,63,1,Q,2TQ38,24
2,10,14,3,5,2TA35,380,1,A,2TA35,25
2,13,8,10,7,2K8T7,353,1,K,2K8T7,26
2,14,3,-1,5,2A3J5,601,1,A,2A3A5,27
2,14,7,10,3,2A7T3,457,1,A,2A7T3,28
3,-1,7,8,13,3J78K,38,1,K,3K78K,29
3,2,9,14,5,329A5,538,1,A,329A5,30
3,5,9,7,12,3597Q,249,1,Q,3597Q,31
3,7,5,-1,8,375J8,764,1,8,37588,32
3,8,5,14,10,385AT,583,1,A,385AT,33
3,8,10,2,6,38T26,814,1,T,38T26,34
3,9,-1,7,14,39J7A,489,1,A,39A7A,35
3,9,10,2,7,39T27,615,1,T,39T27,36
3,10,6,14,7,3T6A7,40,1,A,3T6A7,37
3,10,13,7,-1,3TK7J,980,1,K,3TK7K,38
3,10,14,6,4,3TA64,539,1,A,3TA64,39
3,13,2,10,8,3K2T8,141,1,K,3K2T8,40
3,13,6,2,8,3K628,194,1,K,3K628,41
3,13,7,14,10,3K7AT,405,1,A,3K7AT,42
3,13,12,2,7,3KQ27,644,1,K,3KQ27,43
3,14,7,-1,13,3A7JK,801,1,A,3A7AK,44
4,-1,8,6,2,4J862,449,1,8,48862,45
4,2,-1,12,10,42JQT,297,1,Q,42QQT,46
4,2,5,9,10,4259T,64,1,T,4259T,47
4,2,7,9,6,42796,690,1,9,42796,48
4,2,8,3,12,4283Q,346,1,Q,4283Q,49
4,3,12,7,9,43Q79,17,1,Q,43Q79,50
4,5,7,14,-1,457AJ,808,1,A,457AA,51
4,5,12,2,7,45Q27,985,1,Q,45Q27,52
4,6,5,-1,7,465J7,251,1,7,46577,53
4,6,8,12,5,468Q5,22,1,Q,468Q5,54
4,7,2,5,6,47256,537,1,7,47256,55
4,8,6,2,13,4862K,476,1,K,4862K,56
4,9,12,7,13,49Q7K,555,1,K,49Q7K,57
4,9,14,7,6,49A76,463,1,A,49A76,58
4,10,3,5,12,4T35Q,815,1,Q,4T35Q,59
4,13,7,10,14,4K7TA,810,1,A,4K7TA,60
4,14,5,2,10,4A52T,18,1,A,4A52T,61
4,14,13,8,2,4AK82,311,1,A,4AK82,62
5,-1,9,2,10,5J92T,854,1,T,5T92T,63
5,-1,14,9,7,5JA97,797,1,A,5AA97,64
5,3,-1,7,2,53J72,72,1,7,53772,65
5,3,4,9,6,53496,638,1,9,53496,66
5,3,9,12,13,539QK,495,1,K,539QK,67
5,6,12,14,2,56QA2,187,1,A,56QA2,68
5,7,10,6,4,57T64,530,1,T,57T64,69
5,8,10,12,9,58TQ9,871,1,Q,58TQ9,70
5,8,10,14,-1,58TAJ,745,1,A,58TAA,71
5,8,13,9,6,58K96,122,1,K,58K96,72
5,12,6,7,8,5Q678,175,1,Q,5Q678,73
5,12,8,6,3,5Q863,752,1,Q,5Q863,74
5,12,10,7,6,5QT76,914,1,Q,5QT76,75
5,14,-1,2,4,5AJ24,285,1,A,5AA24,76
6,-1,3,14,2,6J3A2,999,1,A,6A3A2,77
6,-1,5,10,12,6J5TQ,24,1,Q,6Q5TQ,78
6,-1,10,3,9,6JT39,760,1,T,6TT39,79
6,3,10,13,5,63TK5,672,1,K,63TK5,80
